pays,code ISO3,PIB,%pop_acces_electricite,perf_logistique,Stab_po,DA(kg/personne/an),TAS,TDI,%variation_population
Tadjikistan,TJK,844.37,99.3,1.97,-0.67,4.45,5.0,95.0,5.04
Tchad,TCD,884.87,10.9,2.11,-1.29,0.45,85.71,14.29,6.42
Tchéquie,CZE,20759.91,100.0,3.77,0.99,21.96,65.46,46.59,0.37
Thaïlande,THA,6436.79,99.9,3.25,-0.75,12.95,190.24,0.23,0.72
Timor-Leste,TLS,1299.52,79.54,2.8958139534883722,0.07,4.24,20.0,220.0,3.93
Togo,TGO,813.4,48.0,2.68,-0.87,7.06,74.07,29.63,5.13
Trinité-et-Tobago,TTO,16094.67,100.0,2.8958139534883722,0.27,54.54,80.26,30.26,1.0
Tunisie,TUN,3569.72,100.0,2.51,-1.02,17.03,109.23,0.0,2.27
Turkménistan,TKM,6738.44,100.0,2.26,-0.13,4.52,74.07,33.33,3.46
Turquie,TUR,10464.01,100.0,3.25,-1.79,20.64,130.94,0.18,3.29
Ukraine,UKR,2510.02,100.0,2.66,-1.87,22.62,120.02,11.99,-0.97
Uruguay,URY,18769.79,99.8,2.98,1.04,9.12,100.0,9.09,0.72
Vanuatu,VUT,3032.15,62.8,2.8958139534883722,0.68,11.66,33.33,133.33,5.3
Venezuela (République bolivarienne du),VEN,8112.05,99.2,2.1,-1.25,20.28,95.85,3.99,-2.26
Viet Nam,VNM,2992.07,100.0,3.03,0.21,12.33,76.12,24.13,2.08
Yémen,YEM,612.35,79.2,2.8958139534883722,-2.93,8.53,68.29,31.71,5.05
Zambie,ZMB,1495.44,40.3,2.46,0.14,3.42,81.67,20.0,6.14
Zimbabwe,ZWE,1494.17,43.98,1.97,-0.71,4.68,90.79,7.89,3.05
Égypte,EGY,1917.05,100.0,3.11,-1.43,12.96,89.44,8.8,4.33
Émirats arabes unis,ARE,42522.38,100.0,4.15,0.6,43.47,11.65,105.1,2.42
Équateur,ECU,6246.4,99.2,2.86,-0.08,19.31,99.71,0.0,3.54
États-Unis d'Amérique,USA,59059.6,100.0,3.98,0.26,55.68,119.97,0.67,1.31
Éthiopie,ETH,709.76,44.3,2.8958139534883722,-1.68,0.13,100.0,7.14,5.52
